Committee Name|Committee ID|Date Received|Date of Billing|Creditor Name|Creditor Address|Description|Amount Unpaid|Paid|Date Paid|Amount Paid|unknownNumeric
CITIZENS FOR QUALITY PARKS AND TRAILS|06BQC00128|05/02/2006|04/18/2006|DESIGN 4|3232 H STREET, OMAHA 68107|YARD SIGNS|819|0|||6444
CITIZENS FOR QUALITY PARKS AND TRAILS|06BQC00128|05/02/2006|04/18/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN 68504|PRINTING AND POSTAGE|2256.65|0|||6444
NEBRASKANS FOR VIDEO KENO|06BQC00122|05/02/2006|04/25/2006|WILLIAM HARVEY|11248 JOHN GALT BLVD OMAHA 68137|WEBSITE HOSTING VIDEOKENO.ORG AND NAME RESERVATION|57.65|1|||4236
KATHY BRADLEY FOR SCHOOL BOARD|99CAC00487|05/03/2006|04/24/2006|MIDLAND COMMERCIAL PRINTING|OMAHA, NE|PRINTING|621|1|05/03/2006||4237
CAROL CASEY FOR LEGISLATURE |06CAC00783|05/03/2006|04/11/2006|CASEY, CAROL||POSTAGE|1000|1|||4238
KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR)|05CAC00745|05/03/2006|04/10/2006|VICTORY ENTERPRISE||AD CREATION AND PRODUCTION|2130|1|||4243
SCHLOTHAUER FOR LEGISLATURE|06CAC00787|05/02/2006|04/27/2006|ASAP PRINT SERVICES|5012 BUNKER HILL RD LINCOLN,NE|PRINTING|3051.82|1|04/27/2006||6445
JEROME KRAMER FOR SHERIFF|06CAC00838|05/03/2006|04/24/2006|PRO PRINTING||YARD SIGN, BROCHURES, AD CARDS|2873.79|1|06/01/2006||5698
KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR)|05CAC00745|04/12/2006|03/31/2006|PRO PRINTING & GRAPHICS|P.O. BOX 608 NORTH PLATTE NE 69103|YARD SIGNS|1555.52|1|||4158
WHITE FOR LEGISLATURE|05CAC00739|05/03/2006|04/14/2006|MACK CROUNSE GROUP||DIRECT MAIL|4464.06|1|||4252
WHITE FOR LEGISLATURE|05CAC00739|05/03/2006|04/17/2006|MACK CROUNSE GROUP||6380 DIRECT MAIL ENERGY|6826.6|1|||4252
WHITE FOR LEGISLATURE|05CAC00739|05/03/2006|04/06/2006|TESS FOGARTY PHOTOGRAPHY||PHOTOS FOR DIRECT MAIL|410.17|1|||4252
MARK CHRISTENSEN FOR LEGISLATURE|05CAC00762|05/01/2006|04/24/2006|IMPERIAL REPUBLICAN|622 BROADWAY PO BOX 727 IMPERIAL NE 69033|NEWSPAPER ADVERTISING|517.5|1|05/06/2006||4082
KEVIN STUKENHOLTZ SAUNDERS COUNTY SHERIFF |06CAC00795|04/26/2006|04/05/2006|DO IT BEST|205 WEST 5TH STREET|PLYWOOD,PAINT,HARDWARE FOR SIGN|250|1|05/07/2006||4021
KEVIN STUKENHOLTZ SAUNDERS COUNTY SHERIFF |06CAC00795|04/26/2006|04/15/2006|PUBLICATION PRINTING|208 3RD STREET|BROCHURE PRINTING AND MAILING SIGNS|3100.85|1|05/07/2006||4021
KEVIN STUKENHOLTZ SAUNDERS COUNTY SHERIFF |06CAC00795|04/26/2006|04/22/2006|SVOBODA ADVERTISING SPECIALIES|252 NORTH ELM WAHOO, NE 68066|MAGNETIC SIGNS FOR VEHICLE|69.44|1|05/07/2006||4021
MARK CHRISTENSEN FOR LEGISLATURE|05CAC00762|05/01/2006|04/23/2006|GASOLINE||GASOLINE|1100|1|04/23/2006||4082
NEBRASKANS FOR AMENDMENT #2 COMMITTEE|06BQC00142|09/20/2006|09/14/2006|LOVGREN MARKETING|809 NORTH 96TH ST #2 OMAHA 68114|RETAINER AND PUBLISHING|11776.65|1|11/14/2006||4716
CURT FRIESEN FOR LEGISLATURE|06CAC00796|10/10/2006|10/03/2006|CNF, INC.||MILEAGE EXPENSE|920.01|1|10/27/2006||4256
DAVID HAHN FOR GOVERNOR|05CAC00761|10/10/2006|09/28/2006|GOLDENROD PRINTING||PRINTING AND REPRODUCTION|692.07|1|10/17/2006||5301
TRISH LANPHIER FOR DOUGLAS CLERK OF THE DIST.COURT|06CAC00818|10/10/2006|06/15/2006|GOLDENROD PRINTING||CAMPAIGN MATERIALS|2000|0|||4706
KATHY BRADLEY FOR SCHOOL BOARD|99CAC00487|01/18/2007|05/01/2000|KATHY BRADLEY|330 SOUTH 93RD OMAHA,NE 68114|PAID COMMITTEE BILLS|0|1|05/02/2000|1575|5134
KATHY BRADLEY FOR SCHOOL BOARD|99CAC00487|01/18/2007|04/29/2006|KATHY BRADLEY|330 SOUTH 93RD STREET|PAID PRINTING AND POSTAGE|0|1|06/15/2006|1665.43|5134
KATHY BRADLEY FOR SCHOOL BOARD|99CAC00487|06/20/2006|04/24/2006|MIDLAND COMMERCIAL PRINTING|OMAHA, NE|PRINTING|0|1|05/03/2006|621|4574
NEIGHBORS FOR RESPONSIBLE GOVERNMENT|99CAC00481|01/18/2007|05/09/2000|DAVID CULLAN                  |540 COMM. FED. TOWER                              |FOOD & SUPPLIES FOR FUNDRAISER                    |0|1|05/15/2000|112.59|5166
NEIGHBORS FOR RESPONSIBLE GOVERNMENT|99CAC00481|01/18/2007|05/09/2000|MARG BADURA                   |540 COMM. FED. TOWER                              |FOOD & SUPPLIES FOR FUNDRAISER                    |0|1|05/16/2000|63.98|5166
RITNOUR FOR GAGE COUNTY ATTORNEY|06CAC00854|10/10/2006|03/20/2006|BURKHART JR SUITE OUTDOOR AD|200 HAYMARKET SQUARE LINCOLN 68508|BILLBOARD ADS|0|1|03/21/2006|700|4284
COMMITTEE TO RETAIN LEE POLIKOV COUNTY ATTORNEY|99CAC00570|02/03/2004|10/01/2002|NE FURNITURE MART             |                                                  |LAPTOP COMUTER                                    |0|1|10/30/2003|1500|2941
COMMITTEE TO RETAIN JEFFREY L. DAVIS FOR SHERIFF|05CAC00730|06/20/2006|04/04/2006|ELMAN AND COMPANY|6565 S 118TH ST OMAHA NE 68137|PRINTING GOODS|0|1|05/22/2006|5500|5862
COMMITTEE TO RETAIN JEFFREY L. DAVIS FOR SHERIFF|05CAC00730|06/20/2006|04/21/2006|POSTMASTER||POSTAGE|0|1|05/05/2006|4659.82|5862
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|01/16/2007|11/13/2001|NEBRASKA CLUB                 |2000 US BANK BLDG                                 |ROOM RENT/FOOD FOR FUNDRAISER                     |0|1|11/15/2001|171.43|4964
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|01/18/2007|05/30/2002|SNAPPY COPY CENTER            |5434 F ST, OMAHA                                  |PRINTING & MAILING OF BROCHURE                    |0|1|06/24/2002|1959.08|5320
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|01/18/2007|12/09/2002|DCM,INC.                      |13202N.RIVER ROAD OMAHA, NE                       |AUTOMATED CALLING SERVICES                        |0|1|04/04/2003|1160.5|5320
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|01/18/2007|12/31/2002|LOVGREN MARKETING GROUP       |120 REGENCY PARKWAY,STE.280 OMAHA, NE             |CAMPAIGN BROCHURE DEVELOPMENT SERVICE             |0|1|04/04/2003|545|5320
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|01/18/2007|05/31/2001|LOVGREN ADVERTISING           |120 REGENCY PKWY                                  |DIRECT MAIL DESIGN                                |0|1|03/18/2002|581.71|5320
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|01/18/2007|12/30/1999|LOVGREN ADVERTISING           |120 REGENCY PKWY OMAHA NE                         |DIRECT MAIL                                       |0|1|03/18/2002|432.5|5320
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|03/30/2005|02/24/2005|SCHOLZ IMAGES INC|101 N 69TH ST # 28|CAMPAIGN PHOTOGRAPHS|0|1|03/14/2005|380|3276
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|03/30/2005|03/01/2005|WINNIGN DIRECTIONS|2700 S QUINCY ST 3 540|CAMPAIGN BROCHURES AND MAILING|0|1|03/18/2005|9974.98|3276
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|03/30/2005|03/18/2005|QUICK MAILING SERVICE|2315 N STREET|MAILING|504.69|0||0|3276
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|05/03/2005|03/18/2005|QUICK MAILING SERVICE|2315 N STREET|MAILING|0|1|03/22/2005|504.69|3617
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|05/03/2005|04/05/2005|SHANNON STATION LTD.|4330 LEAVENWORTH, OMAHA, NE 68105|ELECTION NIGHT PARTY|375.41|0||0|3617
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|05/03/2005|04/25/2005|AUTOMATIC PRINTING|1713 CUMING ST, OMAHA, NE 68102|PRINTING AND POSTAGE- POST CARDS|606.12|0||0|3617
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|01/16/2007|10/15/2002|LANCASTER COUNTY DEMOCRATS    |                                                  |COORDINATED CAMPAIGN                              |0|1|12/23/2005|2500|4964
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|06/21/2005|04/25/2005|AUTOMATIC PRINTING|1713 CUMING ST, OMAHA, NE 68102|PRINTING AND POSTAGE- POST CARDS|0|1|04/29/2005|606.12|3538
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|06/21/2005|04/05/2005|SHANNON STATION LTD.|4330 LEAVENWORTH, OMAHA, NE 68105|ELECTION NIGHT PARTY|0|1|05/11/2005|375.41|3538
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|06/21/2005|05/31/2005|MARY BARRETT CONSULTING|10346 BROADMOOR CT. # 1006, OMAHA, NE 68114|FUND RAISING AND RELATED EXPENSES|3100|||0|3538
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|06/21/2005|04/25/2005|WINNING DIRECTIONS |2700 S QUINCY ST STE 540, ARLINGTON VA|PRINTING & MAILING OF BROCHURES |0|1|04/29/2005|12162.96|3538
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|06/21/2005|05/15/2005|QUICK MAILING SERVICE|2315 N STREET, OMAHA, NE 68107|MAILING SERVICES (AMOUNT IN DISPUTE)|3890.67|||0|3538
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|01/03/2006|05/31/2005|MARY BARRETT CONSULTING|10346 BROADMOOR CT. # 1006, OMAHA, NE 68114|FUND RAISING AND RELATED EXPENSES|0|1|08/10/2005|3100|3716
ANNE BOYLE FOR CITY COUNCIL|99CAC00691|01/03/2006|05/15/2005|QUICK MAILING SERVICE|2315 N STREET, OMAHA, NE 68107|MAILING SERVICES (AMOUNT IN DISPUTE)|0|1|06/29/2005|3890.67|3716
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/07/2002|02/04/2002|GOLDENROD PRINTING            |                                                  |CONSULTING FEES, HOPPE & ASSOCIATES               |0|1|09/23/2002|830.7|681
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/07/2002|02/18/2002|GOLDENROD PRINTING            |                                                  |PRINTING/SIGNS/ARTWORK                            |0|1|04/29/2002|186.38|681
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/07/2002|02/20/2002|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE/MAILING                          |0|1|04/29/2002|849.65|681
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/07/2002|03/13/2002|GOLDENROD PRINTING            |                                                  |ARTWORK/PHOTO COPIES                              |0|1|04/29/2002|28.86|681
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/07/2002|03/28/2002|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE/MAILING                          |0|1|05/31/2002|882.72|681
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/07/2002|03/30/2002|GOLDENROD PRINTING            |                                                  |GRAPHICS DESIGN                                   |0|1|04/29/2002|21.3|681
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/07/2002|04/24/2002|GOLDENROD PRINTING            |                                                  |PRINTING, POSTAGE, CONSULTING                     |0|1|07/31/2002|1369.25|681
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/07/2002|04/28/2002|GOLDENROD PRINTING            |                                                  |PRINTING, POSTAGE, CONSULTING                     |0|1|09/23/2002|844.2|681
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|01/13/2003|11/04/2002|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE                                  |4208.12|1|09/23/2002|7616.24|683
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/30/2006|11/04/2004|GOLDENROD PRINTING            |2801 CORNHUSKER HWY, LINCOLN NE                   |PRINTING POSTAGE                                  |0|1|02/13/2006|1908.12|5314
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/30/2006|11/04/2002|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE                                  |0|1|02/14/2006|4208.12|5314
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|01/16/2007|10/15/2006|ALCHEMY & ASSOCIATES|P.O. BOX 83481|DESIGN AND PRINT LEAFLET|0|1|12/31/2006|1571.85|4964
KEVIN COOKSLEY FOR LEGISLATURE|99CAC00665|01/12/2005|10/18/2004|ATKINSON GRAPHIC              |P.O. BOX 159 ATKINSON,NE 68713                    |CAMPAIGN ADS                                      |0|1|11/16/2004|325|3404
KEVIN COOKSLEY FOR LEGISLATURE|99CAC00665|01/12/2005|04/01/2004|CUSTER COUNTY CHIEF           |305 S. 10TH; BROKEN BOW, NE  68822                |INSERTS FOR NEWSPAPER                             |0|1|11/24/2004|2710.38|3404
KEVIN COOKSLEY FOR LEGISLATURE|99CAC00665|01/12/2005|10/18/2004|CUSTER COUNTY CHIEF           |305 SOUTH 10TH AVE BROKEN BOW,NE 68822            |CAMPAIGN ADS                                      |0|1|11/21/2004|1000|3404
KEVIN COOKSLEY FOR LEGISLATURE|99CAC00665|10/26/2004|09/13/2004|HOWARD LAMB                   |ANSELMO NE                                        |FUNDRAISING SUPPER                                |0|1|10/24/2004|825|3403
WEHRBEIN FOR LEGISLATURE|99CAC00128|01/13/2003|04/29/2002|ROGER WEHRBEIN                |5812 HWY 66                                       |ESTIMATED MILEAGE @ $0.30/MI                      |0|1|12/17/2002|200|587
JON CARLSON FOR CITY COUNCIL|99CAC00545|01/31/2007|02/23/2001|GOLDENROD PRINTING            |                                                  |PRINTING                                          |0|1|04/13/2001|3707.8|5754
WERNER FOR CITY COUNCIL|99CAC00535|03/28/2001|02/07/2001|NE DEMOCRATIC PARTY           |                                                  |FINAL PAYMENT MAILING                             |0|1|02/28/2001|2500|2693
WERNER FOR CITY COUNCIL|99CAC00535|05/13/2002|03/23/2001|BILLY'S RESTAURANT            |1301 H STREET                                     |FUNDRAISING PARTY                                 |0|1|03/31/2001|490|2696
WERNER FOR CITY COUNCIL|99CAC00535|04/25/2005|03/10/2005|FIREWORKS RESTAURANT|LINCOLN NE|FOOD FOR FUNDRAISER|0|1|03/28/2005|1160|3291
WERNER FOR CITY COUNCIL|99CAC00535|01/08/2007|03/30/2005|SUSAN HALE|3424 S. 30TH STREET|REIMBURSE FOR POSTAGE|0|1|03/31/2005|68.98|5158
WERNER FOR CITY COUNCIL|99CAC00535|01/08/2007|04/04/2005|NE DEMOCRATIC PARTY|633 S. 9TH #201|AUTOMATED CALLING|0|1|04/10/2005|1115.94|5158
WERNER FOR CITY COUNCIL|99CAC00535|01/08/2007|04/04/2005|GOLDENROD PRINTING|2801 CORNHUSKER HWY|PRINTING|0|1|04/11/2005|2738.49|5158
WERNER FOR CITY COUNCIL|99CAC00535|01/08/2007|03/28/2005|GOLDENROD PRINTING|2801 CORNHUSKER HWY|PRINTING|0|1|10/20/2005|1478.68|5158
SENG FOR MAYOR|99CAC00642|01/30/2004|02/13/2003|DECISION RESEARCH             |                                                  |POLLING                                           |0|1|12/31/2004|36964.16|3345
SENG FOR MAYOR|99CAC00642|01/30/2007|12/27/2006|GOLDENROD PRINTING INC|LINCOLN,NE|PRINTING AND REPRODUCTION|678.94|||0|5750
SENG FOR MAYOR|99CAC00642|01/30/2007|12/27/2005|LAKE, SNELL PERRY AND ASSOCIAT|1726 M STREET NW SUITE 500 WASHINGTON DC 20036|POLLING|0|1|02/07/2006|4533.82|5750
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|04/11/2000|03/24/2000|UNIONIST PRINTING             |OMAHA NE                                          |CAMPAIGN CARDS                                    |0||05/01/2000|0|2435
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|06/16/2000|03/24/2000|UNIONIST PRINTING             |OMAHA NE                                          |CAMPAIGN CARDS                                    |0|1|05/01/2000|436.65|2437
SENG FOR MAYOR|99CAC00642|01/30/2007|02/14/2006|ALCHRMY ASSOCIATES LLC|LINCOLN,NE|CONTRACT LABOR|402.5|||0|5750
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|06/16/2000|04/21/2000|OMAHA MAGAZINE                |OMAHA NE                                          |ADVERTISING                                       |0|1|05/01/2000|950|2437
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|04/10/2000|OMAHA MAGAZINES               |PAPILLION NE                                      |FULL PAGE ADS                                     |0|1|05/02/2000|950|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|03/21/2000|LAMAR ADVERTISING             |4830 G                                            |OUTDOOR SINGS & ART WORK                          |0|1|06/14/2000|3926|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|03/21/2000|LAMAR ADVERTISINGS            |OMAHA NE                                          |OUTDOOR SIGNS                                     |0|1|09/14/2000|3926|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|03/14/2000|DESIGN FOUR                   |8938 L OMAHA NE                                   |STICKERS                                          |0|1|07/26/2000|292.88|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|03/23/2000|DESIGN FOUR INC               |OMAHA NE                                          |YARD SIGNS                                        |0|1|09/18/2000|1810.5|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|04/07/2000|CLARK CREATIVE GROUP          |OMAHA NE                                          |ADVERTISING                                       |0|1|09/26/2000|14414.5|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|03/14/2000|DESIGN FOUR INC               |OMAHA NE                                          |STICKERS                                          |0|1|07/23/2000|292.88|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|03/23/2000|KIM MCKAUGHLIN                |OMAHA NE                                          |CAMPAIGN SCHELDULING                              |0|1|09/30/2000|300|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|03/23/2000|KIM MCLAUGHLIN                |4731 S 60TH                                       |CAMPAIGN SCHEDULING SALARY                        |0|1|09/29/2000|300|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|04/03/2000|                              |                                                  |UNPAID BILLS < $250                               |0|1|04/14/2000|2432.07|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|04/24/2000|                              |                                                  |UNPAID BILLS < $250                               |0|1|04/27/2000|5002.76|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|10/11/2000|06/13/2000|                              |                                                  |UNPAID BILLS < $250 AS OF THIS DATE               |0|1|06/20/2000|35641.09|2438
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|02/03/2003|04/24/2000|MATT WHIPKEY                  |11615 FARNAM STREET                               |SALARY & COPIES                                   |0|1|10/16/2000|312.05|2442
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|01/31/2002|03/30/2000|DESIGN FOUR                   |OMAHA NE                                          |STATIC CLING                                      |0|1|11/03/2000|817.92|2441
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|02/03/2003|02/29/2000|GOLDENROD PRINTING            |329 S 11TH LINCOLN NE                             |1ST PMT-VOTER FILES                               |0|1|11/06/2001|399.38|2442
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|02/03/2003|03/17/2000|GOLDENROD PRINTING            |329 S 11TH LINCOLN NE                             |HANDOUTS                                          |0|1|11/17/2001|849.87|2442
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|02/03/2003|03/23/2000|DESIGN FOUR                   |8939 L OMAHA NE                                   |YARD SIGNS                                        |0|1|11/03/2000|1810.5|2442
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|02/03/2003|04/21/2000|DESIGN FOUR INC               |OMAHA NE                                          |SIGNS                                             |0|1|11/04/2000|517.59|2442
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|02/03/2003|03/24/2000|MATT WHIPKEY                  |11616 FARNAM OMAHA NE                             |CAMPAIGN CHAIRMAN FEE                             |0|1|10/12/2000|2040|2442
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|02/03/2003|05/07/2000|MATT WHIPKEY                  |11615 FARNAM STREET                               |SALARY                                            |0|1|10/20/2000|400|2442
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|02/03/2003|02/11/2000|DOUGLAS CO ELECTION COMM      |225 N 115TH OMAHA NE                              |FILING FEE                                        |0|1|02/15/2000|654|2442
THE COMMITTEE TO RE-ELECT REGENT BOB WHITEHOUSE|06CAC00789|10/27/2006|10/13/2006|LOVGREN MARKETING GROUP|809 N 96TH ST STE 2 OMAHA NE 68114|DESIGN AND DEVELOPMENTOF CAMPAIGN BROCHURE/FLYER|553.75|0|||5457
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/30/2006|10/23/2006|WINDSTREAM||TELEPHONE|381.09|0|||6069
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/30/2006|10/23/2006|MAKE EVENT PLANNING||CATERING EXPENSE|538.34|0|||6069
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/30/2006|10/23/2006|ON YOUR MARKS||BALLOONS|257.81|0|||6069
NEBRASKANS FOR VIDEO KENO|06BQC00122|10/30/2006|10/10/2006|HARVEY, WILLIAM||BOOTH RENTAL|325|1|11/03/2006||6192
NEBRASKANS FOR VIDEO KENO|06BQC00122|10/30/2006|10/23/2006|HEARTLAND MARKETING & COMMUNIC||WEBSITE REVISIONS, GRAPHIC DESIGN, RADIO|2988.33|1|11/03/2006||6192
NEBRASKANS FOR VIDEO KENO|06BQC00122|10/30/2006|10/23/2006|SNAPPY COPY CENTER||BET SLIPS, SIGNAGE, ABSENTEE BALLOT|23324.62|0|||6192
KENT ROGERT FOR LEGISLATURE|05CAC00760|10/31/2006|10/23/2006|AUTOMATIC PRINTING||MAILER PRINTING|699.78|0|||4456
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|10/30/2006|10/19/2006|STEPHEN GUITTAR|2649 NORTH 48TH STREET|POSTAGE|117|0|||4463
COMMITTEE TO ELECT JIM VOKAL|99CAC00544|01/11/2007|12/31/2006|BLACKWELL SANDERS|10832 OLD MILL RD STE 8 OMAHA 68154|LEGAL FEES|7918.75|0|||5065
ERDMAN FOR LEGISLATURE|99CAC00429|01/23/2007|11/09/2006|SPAGHETTI WORKS||DINNER FOR STATE VOLLEYBALL|567.3|0|||5574
KATHY BRADLEY FOR SCHOOL BOARD|99CAC00487|01/18/2007|06/20/2006|KATHY BRADLEY AND SANFORD GOOD|330 SOUTH 93RD ST OMAHA 68114|PRINTING, PROCESSING, POSTAGE, AND SUPPLIES|1711.11|0|||5134
NEBRASKANS FOR AMENDMENT #2 COMMITTEE|06BQC00142|09/20/2006|09/14/2006|LOVGREN MARKETING|809 NORTH 96TH ST #2 OMAHA 68114|RETAINER AND PUBLISHING|11776.65|1|11/14/2006||4716
BECK FOR CITY COUNCIL|99CAC00641|06/16/2003|04/01/2003|THE PHILIP M YOUNG CO         |233 S 13 STE 800 LINCOLN NE                       |CONSULTING                                        |0|1|06/02/2003|1022.79|3338
BECK FOR CITY COUNCIL|99CAC00641|01/29/2004|06/01/2003|THE PHILIP M YOUNG CO         |                                                  |CONSULTING                                        |0|1|06/13/2003|1032.19|3339
BECK FOR CITY COUNCIL|99CAC00641|01/29/2004|03/23/2003|SANINE BECK, CANDIDATE||LIBA BILLBOARD WON THROUGH AUCTION|0|1|07/04/2003|426|3339
BECK FOR CITY COUNCIL|99CAC00641|01/29/2004|03/24/2003|SANINE BECK, CANDIDATE||MISC EXPENSES|0|1|07/04/2003|467.46|3339
BECK FOR CITY COUNCIL|99CAC00641|01/29/2004|04/21/2003|SANINE BECK, CANDIDATE||MISC EXPENSES|0|1|07/04/2003|33.3|3339
BECK FOR CITY COUNCIL|99CAC00641|01/29/2004|06/09/2003|SANINE BECK, CANDIDATE||ALLTEL|0|1|07/04/2003|250.8|3339
BECK FOR CITY COUNCIL|99CAC00641|01/29/2004|02/03/2003|SANINE BECK                   |524 SAILSIDE DR LINCOLN NE 68528                  |REIMBURSE EXP. PD TO LAMAR'S OUTDOOR ADVERTISING  |0|1|07/04/2003|420|3339
BECK FOR CITY COUNCIL|99CAC00641|01/29/2004|06/10/2003|SANINE BECK, CANDIDATE||MISC EXPENSES|0|1|07/04/2003|46.78|3339
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|04/10/2006|12/31/2005|QUALITY PRESS||PRINTING|0|1|03/18/2006|648.69|4204
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|04/10/2006|12/31/2005|SPRINT||CELL PHONE|0|1|03/18/2006|371.49|4204
NEWMAN FOR COUNCIL|99CAC00639|03/28/2003|02/12/2003|NE DEMOCRATIC PARTY           |                                                  |MAILINGS, POLLING, GOTV                           |0|1|03/24/2003|25|3253
NEWMAN FOR COUNCIL|99CAC00639|04/28/2003|02/12/2003|NE DEMOCRATIC PARTY           |                                                  |MAILINGS, POLLING, GOTV                           |0|1|04/21/2003|175|3254
COMMITTEE TO ELECT JIM VOKAL|99CAC00544|01/11/2007|12/31/2005|BLACKWELL SANDERS|10832 OLD MILL ROAD STE 8 OMAHA NE 68154|LEGAL FEES|0|1|11/06/2006|2141.6|5065
COMMITTEE TO ELECT JIM VOKAL|99CAC00544|01/26/2006|05/24/2005|PLANIT OMAHA|10832 OLD MILL RD STE 8 OMAHA  NE 68154|HY-VEE, WH THOMPSON ALUMNI CENT, BRANDEIS CATERING|0|1|07/29/2005|7330.58|3698
